Location Name,Location Thumbnail Url
Frozen Tundra Frozen Ruins West,![Frozen Tundra Frozen Ruins West](https://static.wikia.nocookie.net/nexomon/images/2/2e/Frozen_Tundra_Frozen_Ruins_West.png/revision/latest/smart/width/40/height/30?cb=20240326222811)
Frozen Tundra House Ruins,![Frozen Tundra House Ruins](https://static.wikia.nocookie.net/nexomon/images/e/ef/Frozen_Tundra_House_Ruins.png/revision/latest/smart/width/40/height/30?cb=20240326223600)
Frozen Tundra Lab,![Frozen Tundra Lab](https://static.wikia.nocookie.net/nexomon/images/8/81/Frozen_Tundra_Lab.png/revision/latest/smart/width/40/height/30?cb=20231127202505)
Frozen Tundra Lab - Outside,![Frozen Tundra Lab - Outside](https://static.wikia.nocookie.net/nexomon/images/4/4e/Frozen_Tundra_Lab_-_Outside.png/revision/latest/smart/width/40/height/30?cb=20231127200438)
Frozen Tundra Lake,![Frozen Tundra Lake](https://static.wikia.nocookie.net/nexomon/images/0/0f/Frozen_Tundra_Lake.png/revision/latest/smart/width/40/height/30?cb=20240326223306)
Frozen Tundra Nexolord Statue,![Frozen Tundra Nexolord Statue](https://static.wikia.nocookie.net/nexomon/images/b/bf/Frozen_Tundra_Nexolord_Statue.png/revision/latest/smart/width/40/height/30?cb=20240326222629)
Frozen Tundra River,![Frozen Tundra River](https://static.wikia.nocookie.net/nexomon/images/3/3b/Frozen_Tundra_River.png/revision/latest/smart/width/40/height/30?cb=20240326223540)
Frozen Tundra Snowy Ruins,![Frozen Tundra Snowy Ruins](https://static.wikia.nocookie.net/nexomon/images/d/df/Frozen_Tundra_Snowy_Ruins.png/revision/latest/smart/width/40/height/30?cb=20240326223243)
Frozen Tundra Southern Cave - East,![Frozen Tundra Southern Cave - East](https://static.wikia.nocookie.net/nexomon/images/d/d3/Frozen_Tundra_Southern_Cave_-_East.png/revision/latest/smart/width/40/height/30?cb=20240326223453)
Frozen Tundra Southern Cave - Entrance,![Frozen Tundra Southern Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/1/1a/Frozen_Tundra_Southern_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326223414)
Frozen Tundra Southern Cave - Southeast,![Frozen Tundra Southern Cave - Southeast](https://static.wikia.nocookie.net/nexomon/images/5/55/Frozen_Tundra_Southern_Cave_-_Southeast.png/revision/latest/smart/width/40/height/30?cb=20240326223512)
Frozen Tundra Southern Cave - West,![Frozen Tundra Southern Cave - West](https://static.wikia.nocookie.net/nexomon/images/7/78/Frozen_Tundra_Southern_Cave_-_West.png/revision/latest/smart/width/40/height/30?cb=20240326223429)
Frozen Tundra Southern Cave Outside,![Frozen Tundra Southern Cave Outside](https://static.wikia.nocookie.net/nexomon/images/f/f6/Frozen_Tundra_Southern_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326223352)
Frozen Tundra Totem,![Frozen Tundra Totem](https://static.wikia.nocookie.net/nexomon/images/9/97/Frozen_Tundra_Totem.png/revision/latest/smart/width/40/height/30?cb=20231127135555)
Frozen Tundra Train Station,![Frozen Tundra Train Station](https://static.wikia.nocookie.net/nexomon/images/5/55/Frozen_Tundra_Train_Station.png/revision/latest/smart/width/40/height/30?cb=20231127134655)
Frozen Tundra Tyrant Bones,![Frozen Tundra Tyrant Bones](https://static.wikia.nocookie.net/nexomon/images/2/2b/Frozen_Tundra_Tyrant_Bones.png/revision/latest/smart/width/40/height/30?cb=20240601010218)
Frozen Water Hole,![Frozen Water Hole](https://static.wikia.nocookie.net/nexomon/images/5/5b/Frozen_Water_Hole.png/revision/latest/smart/width/40/height/30?cb=20231127143722)
Frozen Woodlands,![Frozen Woodlands](https://static.wikia.nocookie.net/nexomon/images/d/d7/Frozen_Woodlands.png/revision/latest/smart/width/40/height/30?cb=20231127163746)
Grunda Prison Archs,![Grunda Prison Archs](https://static.wikia.nocookie.net/nexomon/images/2/2b/Grunda_Prison_Archs.png/revision/latest/smart/width/40/height/30?cb=20240920122045)
Grunda Prison Bifurcation,![Grunda Prison Bifurcation](https://static.wikia.nocookie.net/nexomon/images/4/49/Grunda_Prison_Bifurcation.png/revision/latest/smart/width/40/height/30?cb=20240920121404)
Grunda Prison Camp,![Grunda Prison Camp](https://static.wikia.nocookie.net/nexomon/images/3/30/Grunda_Prison_Camp.png/revision/latest/smart/width/40/height/30?cb=20240920121102)
Grunda Prison Cliff,![Grunda Prison Cliff](https://static.wikia.nocookie.net/nexomon/images/8/8a/Grunda_Prison_Cliff.png/revision/latest/smart/width/40/height/30?cb=20240920122431)
Grunda Prison Dead End,![Grunda Prison Dead End](https://static.wikia.nocookie.net/nexomon/images/c/cb/Grunda_Prison_Dead_End.png/revision/latest/smart/width/40/height/30?cb=20240920121504)
Grunda Prison Exit,![Grunda Prison Exit](https://static.wikia.nocookie.net/nexomon/images/9/95/Grunda_Prison_Exit.png/revision/latest/smart/width/40/height/30?cb=20240920123244)
Grunda Prison House,![Grunda Prison House](https://static.wikia.nocookie.net/nexomon/images/0/09/Grunda_Prison_House.png/revision/latest/smart/width/40/height/30?cb=20240920122844)
Grunda Prison River,![Grunda Prison River](https://static.wikia.nocookie.net/nexomon/images/f/f4/Grunda_Prison_River.png/revision/latest/smart/width/40/height/30?cb=20240920121854)
Grunda Prison Ruins,![Grunda Prison Ruins](https://static.wikia.nocookie.net/nexomon/images/b/b3/Grunda_Prison_Ruins.png/revision/latest/smart/width/40/height/30?cb=20240920122621)
Grunda Prison Shashocks,![Grunda Prison Shashocks](https://static.wikia.nocookie.net/nexomon/images/d/d8/Grunda_Prison_Shashocks.png/revision/latest/smart/width/40/height/30?cb=20240920123032)
Grunda Prison Well,![Grunda Prison Well](https://static.wikia.nocookie.net/nexomon/images/6/68/Grunda_Prison_Well.png/revision/latest/smart/width/40/height/30?cb=20240920121720)
Grunda's Cave - B1,![Grunda's Cave - B1](https://static.wikia.nocookie.net/nexomon/images/2/25/Grunda%27s_Cave_-_B1.png/revision/latest/smart/width/40/height/30?cb=20240326000114)
Grunda's Cave - B2,![Grunda's Cave - B2](https://static.wikia.nocookie.net/nexomon/images/a/a4/Grunda%27s_Cave_-_B2.png/revision/latest/smart/width/40/height/30?cb=20240326000301)
Grunda's Cave - Bones,![Grunda's Cave - Bones](https://static.wikia.nocookie.net/nexomon/images/d/da/Grunda%27s_Cave_-_Bones.png/revision/latest/smart/width/40/height/30?cb=20240326000415)
Grunda's Cave - Entrance,![Grunda's Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/4/43/Grunda%27s_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240325235711)
Grunda's Cave - North,![Grunda's Cave - North](https://static.wikia.nocookie.net/nexomon/images/b/bc/Grunda%27s_Cave_-_North.png/revision/latest/smart/width/40/height/30?cb=20240325235927)
Grunda's Cave - West,![Grunda's Cave - West](https://static.wikia.nocookie.net/nexomon/images/2/2c/Grunda%27s_Cave_-_West.png/revision/latest/smart/width/40/height/30?cb=20240325235809)
Grunda's Cave Outside,![Grunda's Cave Outside](https://static.wikia.nocookie.net/nexomon/images/2/26/Grunda%27s_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240325235356)
Grunda's Dig Site,![Grunda's Dig Site](https://static.wikia.nocookie.net/nexomon/images/0/0d/Grunda%27s_Dig_Site.png/revision/latest/smart/width/40/height/30?cb=20231127105854)
Haunted Woods Bridge,![Haunted Woods Bridge](https://static.wikia.nocookie.net/nexomon/images/7/7c/Haunted_Woods_Bridge.png/revision/latest/smart/width/40/height/30?cb=20240324155046)
Haunted Woods Bridge End,![Haunted Woods Bridge End](https://static.wikia.nocookie.net/nexomon/images/0/0f/Haunted_Woods_Bridge_End.png/revision/latest/smart/width/40/height/30?cb=20240324155129)
Haunted Woods Broken Tower,![Haunted Woods Broken Tower](https://static.wikia.nocookie.net/nexomon/images/2/21/Haunted_Woods_Broken_Tower.png/revision/latest/smart/width/40/height/30?cb=20240324160159)
Haunted Woods Cave - Entrance,![Haunted Woods Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/2/22/Haunted_Woods_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240324160459)
Haunted Woods Cave - North,![Haunted Woods Cave - North](https://static.wikia.nocookie.net/nexomon/images/8/8b/Haunted_Woods_Cave_-_North.png/revision/latest/smart/width/40/height/30?cb=20240324160601)
Haunted Woods Cave - Northeast,![Haunted Woods Cave - Northeast](https://static.wikia.nocookie.net/nexomon/images/5/56/Haunted_Woods_Cave_-_Northeast.png/revision/latest/smart/width/40/height/30?cb=20240324160639)
Haunted Woods Cave - West,![Haunted Woods Cave - West](https://static.wikia.nocookie.net/nexomon/images/1/10/Haunted_Woods_Cave_-_West.png/revision/latest/smart/width/40/height/30?cb=20240324160527)
Haunted Woods Dragon Spot,![Haunted Woods Dragon Spot](https://static.wikia.nocookie.net/nexomon/images/1/15/Dragon_Summoning_Spot.png/revision/latest/smart/width/40/height/30?cb=20240324160053)
Haunted Woods Eastern Camp,![Haunted Woods Eastern Camp](https://static.wikia.nocookie.net/nexomon/images/e/e6/Haunted_Woods_Eastern_Camp.png/revision/latest/smart/width/40/height/30?cb=20240324160939)
Haunted Woods Lake,![Haunted Woods Lake](https://static.wikia.nocookie.net/nexomon/images/6/64/Haunted_Woods_Lake.png/revision/latest/smart/width/40/height/30?cb=20240324160822)
Haunted Woods Northern Entrance,![Haunted Woods Northern Entrance](https://static.wikia.nocookie.net/nexomon/images/e/e9/Haunted_Woods_Northern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240324154947)
Haunted Woods Outside Cave,![Haunted Woods Outside Cave](https://static.wikia.nocookie.net/nexomon/images/a/a3/Haunted_Woods_Outside_Cave.png/revision/latest/smart/width/40/height/30?cb=20240324160435)
Haunted Woods Southern Entrance,![Haunted Woods Southern Entrance](https://static.wikia.nocookie.net/nexomon/images/8/87/Haunted_Woods_Southern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240324160859)
Haunted Woods Tyrant Bones,![Haunted Woods Tyrant Bones](https://static.wikia.nocookie.net/nexomon/images/f/f1/Haunted_Woods_Tyrant_Bones.png/revision/latest/smart/width/40/height/30?cb=20240525225357)
Helovolk's Cave - Entrance,![Helovolk's Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/3/33/Helovolk%27s_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240327185605)
Helovolk's Cave - Helovolk's Location,![Helovolk's Cave - Helovolk's Location](https://static.wikia.nocookie.net/nexomon/images/3/34/Helovolk%27s_Cave_-_Helovolk%27s_Location.png/revision/latest/smart/width/40/height/30?cb=20240327185617)
Hero's Tomb - Entrance,![Hero's Tomb - Entrance](https://static.wikia.nocookie.net/nexomon/images/d/da/Hero%27s_Tomb_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240324154222)
Hero's Tomb - North,![Hero's Tomb - North](https://static.wikia.nocookie.net/nexomon/images/4/45/Hero%27s_Tomb_-_North.png/revision/latest/smart/width/40/height/30?cb=20240324154250)
Hidden Area,![Hidden Area](https://static.wikia.nocookie.net/nexomon/images/c/cb/Hidden_Area.png/revision/latest/smart/width/40/height/30?cb=20231124131250)
Hidden Dead End,![Hidden Dead End](https://static.wikia.nocookie.net/nexomon/images/5/5b/Hidden_Dead_End.png/revision/latest/smart/width/40/height/30?cb=20231124161740)
Hidden Guard Area,![Hidden Guard Area](https://static.wikia.nocookie.net/nexomon/images/a/a7/Hidden_Guard_Area.png/revision/latest/smart/width/40/height/30?cb=20231124135345)
Hidden Rest Stop,![Hidden Rest Stop](https://static.wikia.nocookie.net/nexomon/images/e/ef/Hidden_Rest_Stop.png/revision/latest/smart/width/40/height/30?cb=20231124132908)
Hidden Village,![Hidden Village](https://static.wikia.nocookie.net/nexomon/images/a/aa/Hidden_Village.png/revision/latest/smart/width/40/height/30?cb=20231124142618)
Hidden Village Center,![Hidden Village Center](https://static.wikia.nocookie.net/nexomon/images/b/bb/Hidden_Village_Center.png/revision/latest/smart/width/40/height/30?cb=20240326200808)
Hidden Village Hilda's House,![Hidden Village Hilda's House](https://static.wikia.nocookie.net/nexomon/images/d/d8/Hidden_Village_Hilda%27s_House.png/revision/latest/smart/width/40/height/30?cb=20240326200910)
Hidden Village Nara's Tomb,![Hidden Village Nara's Tomb](https://static.wikia.nocookie.net/nexomon/images/d/d5/Hidden_Village_Nara%27s_Tomb.png/revision/latest/smart/width/40/height/30?cb=20240326201613)
Hidden Village Southern Entrance,![Hidden Village Southern Entrance](https://static.wikia.nocookie.net/nexomon/images/5/5d/Hidden_Village_Southern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326200453)
Hidden Village Tikala's Tree,![Hidden Village Tikala's Tree](https://static.wikia.nocookie.net/nexomon/images/2/28/Hidden_Village_Tikala%27s_Tree.png/revision/latest/smart/width/40/height/30?cb=20240326201024)
Hidden Village West,![Hidden Village West](https://static.wikia.nocookie.net/nexomon/images/e/ee/Hidden_Village_West.png/revision/latest/smart/width/40/height/30?cb=20240326201404)
Hilda's Domain,![Hilda's Domain](https://static.wikia.nocookie.net/nexomon/images/c/c1/Hilda%27s_Domain.png/revision/latest/smart/width/40/height/30?cb=20231124211020)
Home Route,![Home Route](https://static.wikia.nocookie.net/nexomon/images/d/d8/Home_Route.png/revision/latest/smart/width/40/height/30?cb=20231117190553)
Ignitia,![Ignitia](https://static.wikia.nocookie.net/nexomon/images/d/dc/Ignitia.png/revision/latest/smart/width/40/height/30?cb=20231123145717)
Ignitia Ambush,![Ignitia Ambush](https://static.wikia.nocookie.net/nexomon/images/5/5a/Ignitia_Ambush.png/revision/latest/smart/width/40/height/30?cb=20231123195731)
Ignitia Big Lava Lake,![Ignitia Big Lava Lake](https://static.wikia.nocookie.net/nexomon/images/e/ed/Ignitia_Big_Lava_Lake.png/revision/latest/smart/width/40/height/30?cb=20240326173711)
Ignitia Corner,![Ignitia Corner](https://static.wikia.nocookie.net/nexomon/images/1/1b/Ignitia_Corner.png/revision/latest/smart/width/40/height/30?cb=20231123142549)
Ignitia Crossroads,![Ignitia Crossroads](https://static.wikia.nocookie.net/nexomon/images/1/19/Ignitia_Crossroads.png/revision/latest/smart/width/40/height/30?cb=20231123184420)
Ignitia Drill Vehicle,![Ignitia Drill Vehicle](https://static.wikia.nocookie.net/nexomon/images/b/b8/Ignitia_Drill_Vehicle.png/revision/latest/smart/width/40/height/30?cb=20240326180010)
Ignitia Drill Vehicle Northwest,![Ignitia Drill Vehicle Northwest](https://static.wikia.nocookie.net/nexomon/images/d/d1/Ignitia_Drill_Vehicle_Northwest.png/revision/latest/smart/width/40/height/30?cb=20240326180356)
Ignitia Drill Vehicle Southwest,![Ignitia Drill Vehicle Southwest](https://static.wikia.nocookie.net/nexomon/images/c/cc/Ignitia_Drill_Vehicle_Southwest.png/revision/latest/smart/width/40/height/30?cb=20240326180135)
Ignitia Elevator Bottom,![Ignitia Elevator Bottom](https://static.wikia.nocookie.net/nexomon/images/a/ac/Ignitia_Elevator_Bottom.png/revision/latest/smart/width/40/height/30?cb=20240326165008)
Ignitia Elevator South,![Ignitia Elevator South](https://static.wikia.nocookie.net/nexomon/images/d/d5/Ignitia_Elevator_South.png/revision/latest/smart/width/40/height/30?cb=20240326165139)
Ignitia Elevator Top,![Ignitia Elevator Top](https://static.wikia.nocookie.net/nexomon/images/9/9a/Ignitia_Elevator_Top.png/revision/latest/smart/width/40/height/30?cb=20240326164724)
Ignitia Fona's Tomb,![Ignitia Fona's Tomb](https://static.wikia.nocookie.net/nexomon/images/d/dd/Ignitia_Fona%27s_Tomb.png/revision/latest/smart/width/40/height/30?cb=20240326181328)
Ignitia Fona's Tomb South,![Ignitia Fona's Tomb South](https://static.wikia.nocookie.net/nexomon/images/2/25/Ignitia_Fona%27s_Tomb_South.png/revision/latest/smart/width/40/height/30?cb=20240326181451)
Ignitia Frozen Lava,![Ignitia Frozen Lava](https://static.wikia.nocookie.net/nexomon/images/5/50/Ignitia_Frozen_Lava.png/revision/latest/smart/width/40/height/30?cb=20240326180936)
Ignitia Frozen Lava South,![Ignitia Frozen Lava South](https://static.wikia.nocookie.net/nexomon/images/2/29/Ignitia_Frozen_Lava_South.png/revision/latest/smart/width/40/height/30?cb=20240326180703)
Ignitia Giant Crystal,![Ignitia Giant Crystal](https://static.wikia.nocookie.net/nexomon/images/e/ee/Ignitia_Giant_Crystal.png/revision/latest/smart/width/40/height/30?cb=20240326173202)
Ignitia Lab Route,![Ignitia Lab Route](https://static.wikia.nocookie.net/nexomon/images/0/02/Ignitia_Lab_Route.png/revision/latest/smart/width/40/height/30?cb=20231123181300)
Ignitia Lone House,![Ignitia Lone House](https://static.wikia.nocookie.net/nexomon/images/6/64/Ignitia_Lone_House.png/revision/latest/smart/width/40/height/30?cb=20240326181641)
Ignitia Mining Shop,![Ignitia Mining Shop](https://static.wikia.nocookie.net/nexomon/images/8/80/Ignitia_Mining_Shop.png/revision/latest/smart/width/40/height/30?cb=20240326173525)
Ignitia Northern Cave - Center,![Ignitia Northern Cave - Center](https://static.wikia.nocookie.net/nexomon/images/9/95/Ignitia_Northern_Cave_-_Center.png/revision/latest/smart/width/40/height/30?cb=20240326170138)
Ignitia Northern Cave - Entrance,![Ignitia Northern Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/7/78/Ignitia_Northern_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326165953)
Ignitia Northern Cave - North,![Ignitia Northern Cave - North](https://static.wikia.nocookie.net/nexomon/images/a/af/Ignitia_Northern_Cave_-_North.png/revision/latest/smart/width/40/height/30?cb=20240326170642)
Ignitia Northern Cave Outside,![Ignitia Northern Cave Outside](https://static.wikia.nocookie.net/nexomon/images/e/e5/Ignitia_Northern_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326165831)
Ignitia Northern Entrance,![Ignitia Northern Entrance](https://static.wikia.nocookie.net/nexomon/images/f/fc/Ignitia_Northern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326172446)
Ignitia Outskirts,![Ignitia Outskirts](https://static.wikia.nocookie.net/nexomon/images/4/4a/Ignitia_Outskirts.png/revision/latest/smart/width/40/height/30?cb=20231123151124)
Ignitia Pipes,![Ignitia Pipes](https://static.wikia.nocookie.net/nexomon/images/e/e3/Ignitia_Pipes.png/revision/latest/smart/width/40/height/30?cb=20231123170547)
Ignitia Route,![Ignitia Route](https://static.wikia.nocookie.net/nexomon/images/e/ed/Ignitia_Route.png/revision/latest/smart/width/40/height/30?cb=20231123172030)
Ignitia Shops,![Ignitia Shops](https://static.wikia.nocookie.net/nexomon/images/d/d1/Ignitia_Shops.png/revision/latest/smart/width/40/height/30?cb=20240326172812)
Ignitia Southeastern Entrance,![Ignitia Southeastern Entrance](https://static.wikia.nocookie.net/nexomon/images/7/7e/Ignitia_Southeastern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326173946)
Ignitia Southern Cave - East,![Ignitia Southern Cave - East](https://static.wikia.nocookie.net/nexomon/images/1/11/Ignitia_Southern_Cave_-_East.png/revision/latest/smart/width/40/height/30?cb=20240326175227)
Ignitia Southern Cave - Entrance,![Ignitia Southern Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/d/dc/Ignitia_Southern_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326174717)
Ignitia Southern Cave - North,![Ignitia Southern Cave - North](https://static.wikia.nocookie.net/nexomon/images/b/b2/Ignitia_Southern_Cave_-_North.png/revision/latest/smart/width/40/height/30?cb=20240326175042)
Ignitia Southern Cave - West,![Ignitia Southern Cave - West](https://static.wikia.nocookie.net/nexomon/images/1/10/Ignitia_Southern_Cave_-_West.png/revision/latest/smart/width/40/height/30?cb=20240326174931)
Ignitia Southern Cave Outside,![Ignitia Southern Cave Outside](https://static.wikia.nocookie.net/nexomon/images/b/bc/Ignitia_Southern_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326174210)
Ignitia Thirsty Guy,![Ignitia Thirsty Guy](https://static.wikia.nocookie.net/nexomon/images/e/ea/Ignitia_Thirsty_Guy.png/revision/latest/smart/width/40/height/30?cb=20240326165355)
Ignitia Thirsty Guy South,![Ignitia Thirsty Guy South](https://static.wikia.nocookie.net/nexomon/images/e/e8/Ignitia_Thirsty_Guy_South.png/revision/latest/smart/width/40/height/30?cb=20240326172123)
Ignitia Totem,![Ignitia Totem](https://static.wikia.nocookie.net/nexomon/images/7/70/Ignitia_Totem.png/revision/latest/smart/width/40/height/30?cb=20231123134553)
Ignitia Two Ends,![Ignitia Two Ends](https://static.wikia.nocookie.net/nexomon/images/e/e9/Ignitia_Two_Ends.png/revision/latest/smart/width/40/height/30?cb=20231123194522)
Ignitia Tyrant Bones,![Ignitia Tyrant Bones](https://static.wikia.nocookie.net/nexomon/images/d/dd/Ignitia_Tyrant_Bones.png/revision/latest/smart/width/40/height/30?cb=20240525225617)
Ignitia Water Tank,![Ignitia Water Tank](https://static.wikia.nocookie.net/nexomon/images/e/e9/Ignitia_Water_Tank.png/revision/latest/smart/width/40/height/30?cb=20240326175436)
Ignitia Western Entrance,![Ignitia Western Entrance](https://static.wikia.nocookie.net/nexomon/images/f/f7/Ignitia_Western_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326175808)
Ignitia-Khan Jungle Border,![Ignitia-Khan Jungle Border](https://static.wikia.nocookie.net/nexomon/images/9/93/Ignitia-Khan_Jungle_Border.png/revision/latest/smart/width/40/height/30?cb=20231123213022)
Immortal Citadel,![Immortal Citadel](https://static.wikia.nocookie.net/nexomon/images/8/88/Immortal_Citadel.png/revision/latest/smart/width/40/height/30?cb=20240324155955)
Immortal Citadel Camp,![Immortal Citadel Camp](https://static.wikia.nocookie.net/nexomon/images/b/bf/Immortal_Citadel_Camp.png/revision/latest/smart/width/40/height/30?cb=20240324160347)
Immortal Citadel Eastern Entrance,![Immortal Citadel Eastern Entrance](https://static.wikia.nocookie.net/nexomon/images/6/66/Immortal_Citadel_Eastern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240324160417)
Immortal Citadel Southern Entrance,![Immortal Citadel Southern Entrance](https://static.wikia.nocookie.net/nexomon/images/e/e8/Immortal_Citadel_Southern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240324155834)
Inominox Camp,![Inominox Camp](https://static.wikia.nocookie.net/nexomon/images/9/91/Inominox_Camp.png/revision/latest/smart/width/40/height/30?cb=20240327183530)
Inominox Camp South,![Inominox Camp South](https://static.wikia.nocookie.net/nexomon/images/1/1b/Inominox_Camp_South.png/revision/latest/smart/width/40/height/30?cb=20240327183512)
Inominox Location,![Inominox Location](https://static.wikia.nocookie.net/nexomon/images/4/44/Inominox_Location.png/revision/latest/smart/width/40/height/30?cb=20240327183545)
Jungle Grove,![Jungle Grove](https://static.wikia.nocookie.net/nexomon/images/0/0b/Jungle_Grove.png/revision/latest/smart/width/40/height/30?cb=20231124102644)
Jungle Rivers,![Jungle Rivers](https://static.wikia.nocookie.net/nexomon/images/f/f4/Jungle_Rivers.png/revision/latest/smart/width/40/height/30?cb=20231124092619)
Jungle Totem,![Jungle Totem](https://static.wikia.nocookie.net/nexomon/images/9/94/Jungle_Totem.png/revision/latest/smart/width/40/height/30?cb=20231124090016)
Jungle Town,![Jungle Town](https://static.wikia.nocookie.net/nexomon/images/d/d7/Jungle_Town.png/revision/latest/smart/width/40/height/30?cb=20231124101623)
Khan Woods Cave - Entrance,![Khan Woods Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/5/53/Khan_Woods_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326202131)
Khan Woods Cave - F1,![Khan Woods Cave - F1](https://static.wikia.nocookie.net/nexomon/images/4/47/Khan_Woods_Cave_-_F1.png/revision/latest/smart/width/40/height/30?cb=20240326202242)
Khan Woods Cave - F2,![Khan Woods Cave - F2](https://static.wikia.nocookie.net/nexomon/images/6/65/Khan_Woods_Cave_-_F2.png/revision/latest/smart/width/40/height/30?cb=20240326202341)
Khan Woods Cave Outside,![Khan Woods Cave Outside](https://static.wikia.nocookie.net/nexomon/images/5/58/Khan_Woods_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326201945)
Khan Woods Entrance,![Khan Woods Entrance](https://static.wikia.nocookie.net/nexomon/images/3/33/Khan_Woods_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326194841)
Khan Woods Entrance West,![Khan Woods Entrance West](https://static.wikia.nocookie.net/nexomon/images/1/13/Khan_Woods_Entrance_West.png/revision/latest/smart/width/40/height/30?cb=20240326195042)
Khan Woods Giant Mushrooms,![Khan Woods Giant Mushrooms](https://static.wikia.nocookie.net/nexomon/images/1/1e/Khan_Woods_Giant_Mushrooms.png/revision/latest/smart/width/40/height/30?cb=20240326200606)
Khan Woods Tunnel - East,![Khan Woods Tunnel - East](https://static.wikia.nocookie.net/nexomon/images/2/29/Khan_Woods_Tunnel_-_East.png/revision/latest/smart/width/40/height/30?cb=20240326195649)
Khan Woods Tunnel - Entrance,![Khan Woods Tunnel - Entrance](https://static.wikia.nocookie.net/nexomon/images/4/47/Khan_Woods_Tunnel_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326195541)
Khan Woods Tunnel - Exit,![Khan Woods Tunnel - Exit](https://static.wikia.nocookie.net/nexomon/images/3/31/Khan_Woods_Tunnel_-_Exit.png/revision/latest/smart/width/40/height/30?cb=20240326200254)
Khan Woods Tunnel - North,![Khan Woods Tunnel - North](https://static.wikia.nocookie.net/nexomon/images/c/c6/Khan_Woods_Tunnel_-_North.png/revision/latest/smart/width/40/height/30?cb=20240326195750)
Khan Woods Tunnel - West,![Khan Woods Tunnel - West](https://static.wikia.nocookie.net/nexomon/images/f/fd/Khan_Woods_Tunnel_-_West.png/revision/latest/smart/width/40/height/30?cb=20240326200025)
Khan Woods Tunnel Outside,![Khan Woods Tunnel Outside](https://static.wikia.nocookie.net/nexomon/images/7/71/Khan_Woods_Tunnel_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326195248)
Khan Woods Tunnel Outside West,![Khan Woods Tunnel Outside West](https://static.wikia.nocookie.net/nexomon/images/f/f4/Khan_Woods_Tunnel_Outside_West.png/revision/latest/smart/width/40/height/30?cb=20240326195356)
Kroma's Camp,![Kroma's Camp](https://static.wikia.nocookie.net/nexomon/images/1/10/Kroma%27s_Camp.png/revision/latest/smart/width/40/height/30?cb=20240327185324)
Kroma's Camp North,![Kroma's Camp North](https://static.wikia.nocookie.net/nexomon/images/f/fc/Kroma%27s_Camp_North.png/revision/latest/smart/width/40/height/30?cb=20240327185337)
Kroma's Location,![Kroma's Location](https://static.wikia.nocookie.net/nexomon/images/3/35/Kroma%27s_Location.png/revision/latest/smart/width/40/height/30?cb=20240327185349)
Lateria Barracks,![Lateria Barracks](https://static.wikia.nocookie.net/nexomon/images/7/79/Lateria_Barracks.png/revision/latest/smart/width/40/height/30?cb=20240326001813)
Lateria Barracks South,![Lateria Barracks South](https://static.wikia.nocookie.net/nexomon/images/9/96/Lateria_Barracks_South.png/revision/latest/smart/width/40/height/30?cb=20240326001928)
Lateria Cannons,![Lateria Cannons](https://static.wikia.nocookie.net/nexomon/images/a/ae/Lateria_Cannons.png/revision/latest/smart/width/40/height/30?cb=20240326001702)
Lateria Cannons North,![Lateria Cannons North](https://static.wikia.nocookie.net/nexomon/images/c/c4/Lateria_Cannons_North.png/revision/latest/smart/width/40/height/30?cb=20240326001356)
Lateria Eastern Entrance,![Lateria Eastern Entrance](https://static.wikia.nocookie.net/nexomon/images/6/6e/Lateria_Eastern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326002219)
